tuyear,age,t0101,t0102,t0103,t0104,t0105,t0199,t0201,t0202,t0203,t0204,t0205,t0206,t0207,t0208,t0209,t0299,t0301,t0302,t0303,t0304,t0305,t0399,t0401,t0402,t0403,t0404,t0405,t0499,t0501,t0502,t0503,t0504,t0599,t0601,t0602,t0603,t0604,t0699,t0701,t0702,t0703,t0799,t0801,t0802,t0803,t0804,t0805,t0806,t0807,t0808,t0899,t0901,t0902,t0903,t0904,t0905,t0999,t1001,t1002,t1003,t1004,t1099,t1101,t1102,t1199,t1201,t1202,t1203,t1204,t1205,t1299,t1301,t1302,t1303,t1304,t1399,t1401,t1499,t1501,t1502,t1503,t1504,t1505,t1506,t1599,t1601,t1699,t1801,t1802,t1803,t1804,t1805,t1806,t1807,t1808,t1809,t1810,t1811,t1812,t1813,t1814,t1815,t1816,t1818,t1899,t5001,t5099,ttotal
2003,15 to 24,549.10498,44.635902,0.42443964,1.7172155,0,0,17.200884,13.06685,3.8064978,0.90091991,2.6098087,2.2585187,3.1475005,1.0670513,7.5162296,0.001267852,12.937197,0.20994656,0.26414552,0.24424113,0.92011434,0.043586839,4.2844014,0.034392525,0.02380651,0.82584482,5.1719437,0.037003886,143.02838,0.47066873,2.938693,1.9156369,0.023543289,84.91304,2.6307981,30.750607,0.79266417,0.62172717,22.167511,0.15751311,0,0,0.001223411,0.26985779,0,1.1586704,1.4977762,0.1932829,0.035298973,0,0.031267844,0.013751893,0.003080043,0.014758173,0,0.34746668,0,0.22844949,0.031067312,0.095218807,0,0,50.00713,0.21190916,0,52.593639,7.9328332,204.28772,7.8996196,0.42954516,0.17725183,29.56357,3.3628137,0.16614516,0,0.010918481,6.9564605,0.10135217,2.1991358,0.90198344,0.85710156,0.50685453,0.72076035,0.12006232,1.157988,7.4445434,3.3182368,1.1908293,2.1377912,2.5823531,7.5412288,12.628545,9.7656145,12.585065,1.465905,0.33903414,0.26512364,7.0209484,17.15974,4.829423,0.96071929,0.5030821,0.13419923,0.003419078,3.9112332,6.8085423,0.45296469,1440.0002
2004,15 to 24,553.77374,41.981129,0.80635667,0.75450468,0,0,16.659262,12.576861,2.9592142,0.27049005,2.8832974,1.9949912,3.9490643,0.68512517,9.5071669,0.175036,14.237111,0.56106651,0.61430931,0.25276965,1.6628335,0,4.2645941,0.080248021,0,0.97383481,3.3575168,0.040611792,136.46129,0.038788594,2.5071547,1.9210403,0,81.481354,0.92512983,32.796207,0.33044887,0.79724097,20.789562,0.002234435,0,0,0.01342853,0.19544297,0,1.1703502,0.70030326,0.069064155,0.027620198,0,0.072590932,0.007257444,0.003035331,0,0,0.14126158,0,0.10032354,0.055696841,0.058718532,0,0,54.149948,0.25750968,0,51.059052,6.4581995,217.0567,8.5693989,0.28660172,0,30.171448,3.9744999,0.10738992,0,0.017176548,6.4905391,0,1.2057378,2.3367977,0.69504541,0.30924767,0.62950361,0.12034846,2.2977901,7.2872133,3.7994025,1.2880011,3.0698857,2.3789368,6.0010076,13.154759,8.9475355,12.215045,1.579614,0.28426853,0.21231183,7.4118052,14.851313,4.5528107,1.1122842,0.95368904,0.43311569,0,1.6296406,6.9577765,0,1440.0004
2005,15 to 24,556.34845,45.793758,1.6651988,1.5892186,0,0,20.672592,13.109181,1.6564045,2.5256553,2.5603983,2.4567838,3.1963527,0.77573556,10.126575,0.009100539,16.593208,0.8289153,0.46501923,0.150756,0.80916983,0,4.1856546,0.24044514,0,0.59168887,3.3586121,0.17421164,141.58917,0.1167215,2.560293,1.485755,0,70.563232,0.79929805,29.287373,0.51270986,0.8026787,20.95656,0,0,0,0,0.35858807,0,2.2088976,0.56902027,0.48873821,0,0,0.17415968,0.001297942,0.19815367,0,0,0.10891466,0,0.21874276,0.45108137,0.027403567,0,0,54.544373,0.17244136,0,51.178581,7.8828645,206.22867,8.0783577,0.12874427,0.14025253,30.110676,3.8603277,0.1819113,0,0.003951442,7.9599848,0,1.1069366,1.2704998,0.81492257,2.3980103,1.2548962,0.022561247,2.1404147,5.3362937,3.5550063,0.86582279,3.3488638,2.9433219,5.009376,11.956527,6.9653821,11.968607,1.2068483,0.15322514,0.086627759,7.1312213,18.992416,4.78021,0.91731042,1.0283618,0.35191223,0.007507562,1.0066247,9.5472717,0,1440.0001
2006,15 to 24,551.46765,44.451038,1.0385175,0.60419339,0,0,20.473753,13.397139,2.441375,0.80878907,2.9282844,2.5262809,3.4715991,0.19880311,10.341142,0.027301591,15.266696,0.27113312,0.40953904,0.095225319,0.57956761,0,4.1360588,0.2562764,0.005318588,0.41047731,2.8410187,0.017285751,150.67188,0.014944126,2.0532346,1.253404,0.002605244,85.813408,0.82126355,29.154072,0.37246421,0.53889632,19.977673,0.01468457,0,0,0.017908737,0.24612117,0,2.20081,0.74428201,0.26549929,0.036294468,0,0.23867287,0.004213983,0.026593091,0.026150327,0,0.43456876,0,0.3042196,0.54351568,0.005595674,0,0,59.101379,0.15019281,0,47.950504,7.164638,194.95375,7.7094684,0.14658864,0,31.04319,4.1707449,0.23117802,0,0,7.393775,0,0.78013664,0.77850848,0.39890164,1.052986,1.2003337,0.11851865,2.2197821,6.5064306,3.842416,1.0221883,2.8081143,2.9584899,4.5767031,13.023504,7.484725,10.33285,1.4999894,0.1296494,0.25001594,9.0038223,15.252274,4.3355103,1.1127464,0.91805702,0.14523019,0.002081425,1.7633492,12.190878,0.028925419,1440.0002
2007,15 to 24,546.60315,46.209877,0.45618132,0.070906721,0,0.002804608,19.185566,10.919705,2.0580733,1.7768986,4.0743761,3.4630527,2.0345335,0.43076444,10.137784,0.006949549,11.642921,0.36111221,0.21912912,0.22880639,0.4411144,0,2.2356627,0.19275884,0,0.47343379,3.8934195,0,162.8098,0.012476255,3.6128695,2.7050135,0,76.034264,1.6281451,33.17181,0.77005953,0.41931963,19.93985,0.1032793,0,0,0.020392301,0.41287461,0,2.1084912,0.69144708,0.29057336,0.028973967,0,0.29581422,0,0,0,0,0.25248665,0,0.21729659,0,0,0,0,57.480469,0.14970347,0,46.469524,7.373683,198.22148,8.035181,0.034803551,0.41568822,34.457363,3.454407,0.014802099,0,0,5.3673267,0,0.35259232,1.5837706,0.018595356,1.4433271,0.90410274,0.02265675,4.2031465,5.7482729,3.8131294,1.5011173,3.7872829,1.7600914,4.5236921,13.848009,7.1104989,12.473109,1.3393241,0.13121335,0.11837126,7.0374513,15.177347,5.0333371,0.90605581,1.0602405,0.18843305,0.008472532,1.0489262,10.738761,0,1439.9999
2008,15 to 24,552.03394,45.128277,0.91187108,1.2524166,0,0,19.269258,12.530562,1.6938896,0.55735248,2.9413595,4.3487353,2.5075989,0.64243382,9.2779188,0.006826431,14.686402,0.30396843,0.73242652,0.52278054,0.61966896,0,3.9450808,0,0.28951889,0.46462497,4.8357329,0,150.63434,0.25672916,4.2599306,1.8411821,0,82.321152,1.6182951,36.177395,1.2150508,0.47573304,20.593987,0.19259,0,0,0.015009192,0.37330288,0.052598611,1.0158981,0.90271705,0.064798437,0.029961493,0,0.094745986,0.002782536,0.10506179,0.020962514,0,0.43788666,0,0.046622295,0.004804,0,0.000390445,0,56.418785,0.17175877,0,49.183285,5.0739179,194.48083,8.1880808,0.30627975,0,31.709503,4.5140576,0.006932561,0,0.002743801,4.5775642,0,0.47515935,1.1099882,0.37781787,1.3642354,0.44627845,0.02489927,1.4444838,8.2693405,5.2797356,1.1010804,2.4277136,2.5449402,4.3145533,12.983792,8.3942738,12.416118,1.1095344,0.48290399,0.13915055,6.6697855,14.439244,4.6512508,0.75925374,0.59274846,0.091454156,0.018822186,1.328252,9.8528881,0,1439.9999
2009,15 to 24,566.73816,44.846992,0.8641175,1.2412682,0,0,18.028744,13.310658,3.2609615,0.51296133,4.643827,4.386539,1.5817728,0.63564783,9.3875265,0,13.189133,0.28862295,0.45955259,0.34444433,1.474507,0,3.3839862,0.36095455,0.054265648,0.30222359,3.5808649,0,126.62326,0.13967986,3.4079685,2.1098375,0,80.554367,2.5651016,36.955799,0.51443207,0.64456779,20.422052,0.10476355,0,0,0,0.32341376,0,1.1183044,0.90555793,0.1603909,0.28305051,0,0.058044482,0.025583271,0.1173607,0,0,0.074536011,0,0.07020466,0.16416043,0.072125658,0,0,54.509739,0.35756594,0,44.171379,5.9136496,211.32404,6.7526131,0.11909779,0.0519538,30.988356,2.5676947,0.007925797,0,0,5.629303,0,0.92236149,1.645107,0.64836067,0.87760663,0.54167831,0.031608287,1.6662422,7.1021538,2.9697633,2.5177021,2.9843147,2.069068,5.1508055,12.617498,8.0983562,11.713526,1.0305736,0.12751351,0.086265802,7.9776573,14.697078,4.4269757,0.67281222,1.1956829,0.26565596,0.018028446,1.1475004,14.112521,0,1440.0004
2010,15 to 24,554.58466,45.917519,1.4820857,0.72218198,0,0,20.792799,16.787392,2.7079592,1.2320373,3.1916218,4.0343199,4.2580338,0.43638161,7.5420051,0,16.161098,0.3023341,0.62081963,0.20319116,0.67621559,0,2.6493669,0.10571744,0,0.094843216,3.6741593,0,116.84149,0.036263719,2.566051,2.5669403,0,83.951347,1.4977485,36.949127,0.38315061,0.35527042,18.237265,0.062861413,0,0,0,0.13980907,0.049803667,1.7245189,0.38562635,0.23738571,0.17875679,0,0.078755803,0.038420081,0.51887405,0,0,0.16017686,0,0.35108721,0.31627795,0.35149512,0,0,57.584194,0.25362283,0,49.047802,4.2219176,218.45378,7.3031464,0.13141401,0,29.519855,3.1362605,0.10058526,0,0,6.236156,0.009772979,1.024248,1.999558,0.60770762,0.52042937,0.60509342,0.048828229,1.369395,6.5342531,2.8178256,1.2785912,2.6536076,2.9747477,4.8024273,9.453577,7.3717179,10.783112,1.0830562,0.092985004,0.17454408,7.1582589,14.568533,4.4219356,0.7631377,0.73309964,0.18846814,0.029062945,2.877423,20.910654,0,1439.9998
2011,15 to 24,559.30408,45.429367,0.014056331,0.42050457,0,0,20.520494,16.198027,2.1729572,2.8669789,2.250494,2.6311879,1.5446432,0.70124125,4.7674861,0.021735508,14.617633,0.51253814,0.099882647,0.20871277,0.8554846,0,2.5754752,0.056691404,0.076800346,0.15882194,2.691879,0.001834392,128.18088,0.011798307,2.8305516,0.7193957,0,81.667435,1.7556887,34.440582,1.0758729,1.0423313,17.628683,0.08450859,0,0,0.007526659,0.20040791,0,1.2266963,0.71755111,0.14180897,0,0,0.0440129,0,0.026627921,0,0.2004772,0.33904222,0,0.13837789,0.34571782,0,0,0,59.92979,0.20410046,0,47.855724,7.4141808,214.23869,7.0513101,0.13404809,0,33.623165,3.688823,0.025365187,0,0.015442854,8.1772766,0.012030956,2.4658406,1.3443443,1.0858114,1.1079217,0.60087526,0.34972227,1.6217065,5.514379,2.0290489,1.9911429,3.013,2.4202483,3.5512335,10.898671,8.4299717,10.018798,1.0618132,0.31517345,0.11527015,6.8469257,13.062779,4.5086231,1.0637108,1.061525,0.16169202,0.61144835,2.1777055,16.675697,0,1439.9998
2012,15 to 24,560.51904,44.443565,0.80972826,0.11824801,0,0,17.208532,12.406159,1.6531941,0.98733938,2.4635057,3.6409144,1.6075475,0.38306302,3.7819242,0,17.33147,0.38114077,0.47881892,0.15347864,0.86623919,0,2.0655916,0,0,0.70153254,2.8529627,0,124.0108,0.034476735,2.2287149,3.8001277,0,82.482368,0.81944668,37.684303,1.2534567,0.89086783,15.751521,0,0,0,0,0.25062373,0.18714198,1.3494489,0.67329913,0.12901738,0,0,0.29626226,0.01045524,0.011658047,0.007408426,0,0.74366081,0,1.1715924,0.023737488,0.29238072,0,0,58.098129,0.24021707,0,53.824062,8.1396675,215.13403,8.4139557,0.15096162,0,32.954395,2.6370387,0.13820526,0,0.011821511,6.8924809,0,1.6201389,0.7882039,0.18380107,1.0443765,0.47388154,0,0.58698547,7.7470651,2.7650139,1.510558,2.4619386,2.3489857,3.8986788,11.017419,8.8120909,9.5616522,1.086881,0.5272463,0.64395046,7.7410316,15.739191,5.1422997,1.0124898,0.61772126,0.13422439,0.021343058,2.2999024,14.621211,0,1440.0002
