tuyear,age,t0101,t0102,t0103,t0104,t0105,t0199,t0201,t0202,t0203,t0204,t0205,t0206,t0207,t0208,t0209,t0299,t0301,t0302,t0303,t0304,t0305,t0399,t0401,t0402,t0403,t0404,t0405,t0499,t0501,t0502,t0503,t0504,t0599,t0601,t0602,t0603,t0604,t0699,t0701,t0702,t0703,t0799,t0801,t0802,t0803,t0804,t0805,t0806,t0807,t0808,t0899,t0901,t0902,t0903,t0904,t0905,t0999,t1001,t1002,t1003,t1004,t1099,t1101,t1102,t1199,t1201,t1202,t1203,t1204,t1205,t1299,t1301,t1302,t1303,t1304,t1399,t1401,t1499,t1501,t1502,t1503,t1504,t1505,t1506,t1599,t1601,t1699,t1801,t1802,t1803,t1804,t1805,t1806,t1807,t1808,t1809,t1810,t1811,t1812,t1813,t1814,t1815,t1816,t1818,t1899,t5001,t5099,ttotal
2003,15 to 24,549.10498,44.635902,.42443964,1.7172155,0,0,17.200884,13.06685,3.8064978,.90091991,2.6098087,2.2585187,3.1475005,1.0670513,7.5162296,.0012678517,12.937197,.20994656,.26414552,.24424113,.92011434,.043586839,4.2844014,.034392525,.02380651,.82584482,5.1719437,.037003886,143.02838,.47066873,2.938693,1.9156369,.023543289,84.91304,2.6307981,30.750607,.79266417,.62172717,22.167511,.15751311,0,0,.0012234107,.26985779,0,1.1586704,1.4977762,.1932829,.035298973,0,.031267844,.013751893,.0030800428,.014758173,0,.34746668,0,.22844949,.031067312,.095218807,0,0,50.00713,.21190916,0,52.593639,7.9328332,204.28772,7.8996196,.42954516,.17725183,29.56357,3.3628137,.16614516,0,.010918481,6.9564605,.10135217,2.1991358,.90198344,.85710156,.50685453,.72076035,.12006232,1.157988,7.4445434,3.3182368,1.1908293,2.1377912,2.5823531,7.5412288,12.628545,9.7656145,12.585065,1.465905,.33903414,.26512364,7.0209484,17.15974,4.829423,.96071929,.5030821,.13419923,.0034190775,3.9112332,6.8085423,.45296469,1440.0002
2004,15 to 24,553.77374,41.981129,.80635667,.75450468,0,0,16.659262,12.576861,2.9592142,.27049005,2.8832974,1.9949912,3.9490643,.68512517,9.5071669,.175036,14.237111,.56106651,.61430931,.25276965,1.6628335,0,4.2645941,.080248021,0,.97383481,3.3575168,.040611792,136.46129,.038788594,2.5071547,1.9210403,0,81.481354,.92512983,32.796207,.33044887,.79724097,20.789562,.0022344354,0,0,.01342853,.19544297,0,1.1703502,.70030326,.069064155,.027620198,0,.072590932,.0072574439,.0030353314,0,0,.14126158,0,.10032354,.055696841,.058718532,0,0,54.149948,.25750968,0,51.059052,6.4581995,217.0567,8.5693989,.28660172,0,30.171448,3.9744999,.10738992,0,.017176548,6.4905391,0,1.2057378,2.3367977,.69504541,.30924767,.62950361,.12034846,2.2977901,7.2872133,3.7994025,1.2880011,3.0698857,2.3789368,6.0010076,13.154759,8.9475355,12.215045,1.579614,.28426853,.21231183,7.4118052,14.851313,4.5528107,1.1122842,.95368904,.43311569,0,1.6296406,6.9577765,0,1440.0004
2005,15 to 24,556.34845,45.793758,1.6651988,1.5892186,0,0,20.672592,13.109181,1.6564045,2.5256553,2.5603983,2.4567838,3.1963527,.77573556,10.126575,.0091005387,16.593208,.8289153,.46501923,.150756,.80916983,0,4.1856546,.24044514,0,.59168887,3.3586121,.17421164,141.58917,.1167215,2.560293,1.485755,0,70.563232,.79929805,29.287373,.51270986,.8026787,20.95656,0,0,0,0,.35858807,0,2.2088976,.56902027,.48873821,0,0,.17415968,.0012979422,.19815367,0,0,.10891466,0,.21874276,.45108137,.027403567,0,0,54.544373,.17244136,0,51.178581,7.8828645,206.22867,8.0783577,.12874427,.14025253,30.110676,3.8603277,.1819113,0,.0039514415,7.9599848,0,1.1069366,1.2704998,.81492257,2.3980103,1.2548962,.022561247,2.1404147,5.3362937,3.5550063,.86582279,3.3488638,2.9433219,5.009376,11.956527,6.9653821,11.968607,1.2068483,.15322514,.086627759,7.1312213,18.992416,4.78021,.91731042,1.0283618,.35191223,.0075075622,1.0066247,9.5472717,0,1440.0001
2006,15 to 24,551.46765,44.451038,1.0385175,.60419339,0,0,20.473753,13.397139,2.441375,.80878907,2.9282844,2.5262809,3.4715991,.19880311,10.341142,.027301591,15.266696,.27113312,.40953904,.095225319,.57956761,0,4.1360588,.2562764,.0053185881,.41047731,2.8410187,.017285751,150.67188,.014944126,2.0532346,1.253404,.0026052443,85.813408,.82126355,29.154072,.37246421,.53889632,19.977673,.01468457,0,0,.017908737,.24612117,0,2.20081,.74428201,.26549929,.036294468,0,.23867287,.0042139832,.026593091,.026150327,0,.43456876,0,.3042196,.54351568,.0055956743,0,0,59.101379,.15019281,0,47.950504,7.164638,194.95375,7.7094684,.14658864,0,31.04319,4.1707449,.23117802,0,0,7.393775,0,.78013664,.77850848,.39890164,1.052986,1.2003337,.11851865,2.2197821,6.5064306,3.842416,1.0221883,2.8081143,2.9584899,4.5767031,13.023504,7.484725,10.33285,1.4999894,.1296494,.25001594,9.0038223,15.252274,4.3355103,1.1127464,.91805702,.14523019,.0020814254,1.7633492,12.190878,.028925419,1440.0002
2007,15 to 24,546.60315,46.209877,.45618132,.070906721,0,.0028046076,19.185566,10.919705,2.0580733,1.7768986,4.0743761,3.4630527,2.0345335,.43076444,10.137784,.0069495486,11.642921,.36111221,.21912912,.22880639,.4411144,0,2.2356627,.19275884,0,.47343379,3.8934195,0,162.8098,.012476255,3.6128695,2.7050135,0,76.034264,1.6281451,33.17181,.77005953,.41931963,19.93985,.1032793,0,0,.020392301,.41287461,0,2.1084912,.69144708,.29057336,.028973967,0,.29581422,0,0,0,0,.25248665,0,.21729659,0,0,0,0,57.480469,.14970347,0,46.469524,7.373683,198.22148,8.035181,.034803551,.41568822,34.457363,3.454407,.014802099,0,0,5.3673267,0,.35259232,1.5837706,.018595356,1.4433271,.90410274,.02265675,4.2031465,5.7482729,3.8131294,1.5011173,3.7872829,1.7600914,4.5236921,13.848009,7.1104989,12.473109,1.3393241,.13121335,.11837126,7.0374513,15.177347,5.0333371,.90605581,1.0602405,.18843305,.008472532,1.0489262,10.738761,0,1439.9999
2008,15 to 24,552.03394,45.128277,.91187108,1.2524166,0,0,19.269258,12.530562,1.6938896,.55735248,2.9413595,4.3487353,2.5075989,.64243382,9.2779188,.006826431,14.686402,.30396843,.73242652,.52278054,.61966896,0,3.9450808,0,.28951889,.46462497,4.8357329,0,150.63434,.25672916,4.2599306,1.8411821,0,82.321152,1.6182951,36.177395,1.2150508,.47573304,20.593987,.19259,0,0,.015009192,.37330288,.052598611,1.0158981,.90271705,.064798437,.029961493,0,.094745986,.0027825357,.10506179,.020962514,0,.43788666,0,.046622295,.0048040003,0,.00039044471,0,56.418785,.17175877,0,49.183285,5.0739179,194.48083,8.1880808,.30627975,0,31.709503,4.5140576,.0069325608,0,.0027438011,4.5775642,0,.47515935,1.1099882,.37781787,1.3642354,.44627845,.02489927,1.4444838,8.2693405,5.2797356,1.1010804,2.4277136,2.5449402,4.3145533,12.983792,8.3942738,12.416118,1.1095344,.48290399,.13915055,6.6697855,14.439244,4.6512508,.75925374,.59274846,.091454156,.018822186,1.328252,9.8528881,0,1439.9999
2009,15 to 24,566.73816,44.846992,.8641175,1.2412682,0,0,18.028744,13.310658,3.2609615,.51296133,4.643827,4.386539,1.5817728,.63564783,9.3875265,0,13.189133,.28862295,.45955259,.34444433,1.474507,0,3.3839862,.36095455,.054265648,.30222359,3.5808649,0,126.62326,.13967986,3.4079685,2.1098375,0,80.554367,2.5651016,36.955799,.51443207,.64456779,20.422052,.10476355,0,0,0,.32341376,0,1.1183044,.90555793,.1603909,.28305051,0,.058044482,.025583271,.1173607,0,0,.074536011,0,.07020466,.16416043,.072125658,0,0,54.509739,.35756594,0,44.171379,5.9136496,211.32404,6.7526131,.11909779,.0519538,30.988356,2.5676947,.0079257973,0,0,5.629303,0,.92236149,1.645107,.64836067,.87760663,.54167831,.031608287,1.6662422,7.1021538,2.9697633,2.5177021,2.9843147,2.069068,5.1508055,12.617498,8.0983562,11.713526,1.0305736,.12751351,.086265802,7.9776573,14.697078,4.4269757,.67281222,1.1956829,.26565596,.018028446,1.1475004,14.112521,0,1440.0004
2010,15 to 24,554.58466,45.917519,1.4820857,.72218198,0,0,20.792799,16.787392,2.7079592,1.2320373,3.1916218,4.0343199,4.2580338,.43638161,7.5420051,0,16.161098,.3023341,.62081963,.20319116,.67621559,0,2.6493669,.10571744,0,.094843216,3.6741593,0,116.84149,.036263719,2.566051,2.5669403,0,83.951347,1.4977485,36.949127,.38315061,.35527042,18.237265,.062861413,0,0,0,.13980907,.049803667,1.7245189,.38562635,.23738571,.17875679,0,.078755803,.038420081,.51887405,0,0,.16017686,0,.35108721,.31627795,.35149512,0,0,57.584194,.25362283,0,49.047802,4.2219176,218.45378,7.3031464,.13141401,0,29.519855,3.1362605,.10058526,0,0,6.236156,.0097729787,1.024248,1.999558,.60770762,.52042937,.60509342,.048828229,1.369395,6.5342531,2.8178256,1.2785912,2.6536076,2.9747477,4.8024273,9.453577,7.3717179,10.783112,1.0830562,.092985004,.17454408,7.1582589,14.568533,4.4219356,.7631377,.73309964,.18846814,.029062945,2.877423,20.910654,0,1439.9998
2011,15 to 24,559.30408,45.429367,.014056331,.42050457,0,0,20.520494,16.198027,2.1729572,2.8669789,2.250494,2.6311879,1.5446432,.70124125,4.7674861,.021735508,14.617633,.51253814,.099882647,.20871277,.8554846,0,2.5754752,.056691404,.076800346,.15882194,2.691879,.0018343922,128.18088,.011798307,2.8305516,.7193957,0,81.667435,1.7556887,34.440582,1.0758729,1.0423313,17.628683,.08450859,0,0,.0075266594,.20040791,0,1.2266963,.71755111,.14180897,0,0,.0440129,0,.026627921,0,.2004772,.33904222,0,.13837789,.34571782,0,0,0,59.92979,.20410046,0,47.855724,7.4141808,214.23869,7.0513101,.13404809,0,33.623165,3.688823,.025365187,0,.015442854,8.1772766,.012030956,2.4658406,1.3443443,1.0858114,1.1079217,.60087526,.34972227,1.6217065,5.514379,2.0290489,1.9911429,3.013,2.4202483,3.5512335,10.898671,8.4299717,10.018798,1.0618132,.31517345,.11527015,6.8469257,13.062779,4.5086231,1.0637108,1.061525,.16169202,.61144835,2.1777055,16.675697,0,1439.9998
2012,15 to 24,560.51904,44.443565,.80972826,.11824801,0,0,17.208532,12.406159,1.6531941,.98733938,2.4635057,3.6409144,1.6075475,.38306302,3.7819242,0,17.33147,.38114077,.47881892,.15347864,.86623919,0,2.0655916,0,0,.70153254,2.8529627,0,124.0108,.034476735,2.2287149,3.8001277,0,82.482368,.81944668,37.684303,1.2534567,.89086783,15.751521,0,0,0,0,.25062373,.18714198,1.3494489,.67329913,.12901738,0,0,.29626226,.01045524,.011658047,.0074084261,0,.74366081,0,1.1715924,.023737488,.29238072,0,0,58.098129,.24021707,0,53.824062,8.1396675,215.13403,8.4139557,.15096162,0,32.954395,2.6370387,.13820526,0,.011821511,6.8924809,0,1.6201389,.7882039,.18380107,1.0443765,.47388154,0,.58698547,7.7470651,2.7650139,1.510558,2.4619386,2.3489857,3.8986788,11.017419,8.8120909,9.5616522,1.086881,.5272463,.64395046,7.7410316,15.739191,5.1422997,1.0124898,.61772126,.13422439,.021343058,2.2999024,14.621211,0,1440.0002
