tuyear,age,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50,ttotal
2003,15 to 24,595.88257,51.575527,14.619231,10.377393,148.37692,119.70883,22.325024,3.1873777,.37905681,.35473561,50.21904,273.32062,33.103447,7.0578127,6.4638858,10.76278,85.024254,7.261507,1439.9999
2004,15 to 24,597.31573,51.660511,17.328091,8.7168055,140.92827,116.33038,20.791796,2.2488003,.15155436,.21473892,54.407459,283.42996,34.270515,6.4905391,7.594471,11.086616,80.076027,6.9577765,1440
2005,15 to 24,605.39661,57.088779,18.847069,8.5506124,145.75194,101.96529,20.95656,3.7994037,.30836627,.69722766,54.716816,273.63748,34.156868,7.9599848,9.0082417,8.8913002,78.720161,9.5472717,1440
2006,15 to 24,597.5614,56.614468,16.622162,7.6664357,153.99606,116.7001,19.992357,3.7495885,.49152616,.85333097,59.251572,257.92496,35.445114,7.393775,6.5491672,10.348846,76.619301,12.219803,1439.9999
2007,15 to 24,593.34296,54.087704,12.893084,6.7952747,169.14015,112.0236,20.043129,3.8485668,.25248665,.21729659,57.630173,260.55035,37.926575,5.3673267,8.5281916,9.5614023,77.052971,10.738761,1439.9999
2008,15 to 24,599.32648,53.775936,16.865248,9.5349579,156.99219,121.80762,20.786575,2.5490317,.56669348,.051816739,56.590546,257.23239,36.233238,4.5775642,5.2428622,13.549076,74.464874,9.8528881,1440
2009,15 to 24,613.69049,55.748638,15.75626,7.6822953,132.28075,121.23427,20.526817,2.848762,.21747997,.30649075,54.867306,268.33273,33.563976,5.629303,6.3329644,10.071918,76.797012,14.112521,1440
2010,15 to 24,602.70642,60.982548,17.963657,6.524087,122.01074,123.13664,18.300125,2.7946563,.717471,1.0188602,57.837818,279.15805,32.756699,6.2459288,6.1752596,9.3520784,71.408287,20.910654,1440.0001
2011,15 to 24,605.16803,53.675247,16.29425,5.5615025,131.74261,119.98191,17.713192,2.3380039,.56614733,.48409572,60.133892,276.69397,37.352795,8.1893082,8.5762215,7.5434279,71.309731,16.675697,1440
2012,15 to 24,605.89056,44.132179,19.211149,5.6200867,130.07411,123.13045,15.751521,2.8857934,.77318251,1.4877106,58.338345,285.66266,35.741459,6.8924809,4.6973872,10.512079,74.577606,14.621211,1440
2013,15 to 24,611.03247,49.379917,14.807343,7.3486524,133.32233,124.10712,17.864136,3.0156264,.1570113,.80154359,59.520519,267.20178,36.922607,6.5121875,6.499856,7.7387748,72.083076,21.685061,1440
2014,15 to 24,620.17462,48.53801,15.916199,6.0156794,139.90594,106.17923,19.583313,4.1707292,.65786362,.67365068,56.469982,283.42343,32.574291,4.9109755,6.904779,9.1633482,72.704338,12.033628,1440
2015,15 to 24,622.20258,53.471653,14.646021,4.3979435,141.33607,124.93554,18.117336,2.7405643,.19915059,.048511956,57.877232,268.17667,29.818069,5.7012792,4.9301386,9.8162374,71.828789,9.756237,1440
2016,15 to 24,619.18695,52.781406,12.03245,6.4374599,148.52837,136.24486,15.677515,2.951093,.77839255,.30904001,54.38657,250.33273,34.008381,6.0737405,3.239418,8.2708931,72.954224,15.806496,1440
2017,15 to 24,628.93774,57.486996,11.956688,3.6178906,118.49707,135.81435,19.51161,2.1666787,.11329851,.14737239,56.544846,274.31567,30.657764,4.4974856,9.5473061,9.1605473,68.244171,8.7825031,1439.9999
2003,25 to 34,552.80292,96.402756,59.517612,8.1045723,266.04401,16.024019,24.460697,4.7188411,.69386727,.16879307,62.573139,224.96388,20.008963,5.8640294,4.8555593,4.9281979,81.038925,6.8292441,1440
2004,25 to 34,550.64917,91.488701,60.049629,10.124399,269.88025,14.776441,25.971258,4.6703019,.80358756,.74983686,63.918499,230.08577,17.074375,5.0275388,4.5697589,5.1167817,80.629364,4.4143205,1440
2005,25 to 34,559.62616,92.627029,57.752449,7.9310136,260.77173,19.857059,27.341286,4.0005531,.3868475,.77823061,64.52433,222.47144,17.7054,5.3511615,4.6817484,5.1430335,82.38929,6.661221,1440.0001
2006,25 to 34,557.5498,94.11882,57.50325,4.5343518,261.93567,21.276567,25.556904,4.0499096,.56849355,.51267099,64.266991,228.27023,15.579739,5.0158081,3.2163532,5.2129197,82.193184,8.6383371,1440
2007,25 to 34,556.0965,95.93148,59.687248,5.2913055,276.96616,10.808612,22.88448,3.9862466,.58130616,.29891241,63.73975,223.51256,17.120752,6.5986629,6.1624966,5.0035377,77.899193,7.4308429,1439.9999
2008,25 to 34,557.04016,89.774277,56.094452,5.3066239,273.90167,17.238602,22.1124,3.786768,.69409108,.66959625,62.125336,229.46046,16.68181,6.0821795,4.917604,5.4223595,78.790771,9.9008169,1439.9999
2009,25 to 34,551.55481,88.220299,62.370293,5.9925809,260.8291,16.780066,21.43862,3.5279815,.46762657,.4317688,65.026894,239.79225,19.082659,5.9621835,5.1719871,4.5558424,77.385559,11.409486,1439.9999
2010,25 to 34,561.91943,86.888412,54.060486,7.4175653,258.7952,14.611119,22.05764,3.1342442,.4684217,.63597655,66.66526,230.6226,18.510157,6.7328997,7.0612855,4.9905434,79.290947,16.137764,1439.9999
2011,25 to 34,556.97961,88.005295,53.893688,6.026916,274.0264,19.646297,19.616043,3.2038856,.5769673,.17496768,64.394424,221.77763,20.292906,5.6750016,6.3001723,4.3431783,78.632988,16.433643,1439.9998
2012,25 to 34,566.54443,88.267868,54.542751,4.4992442,253.39995,22.073057,22.44615,3.2801516,.59530836,.43955809,66.005539,232.3678,19.229136,5.39219,4.0304999,5.1469193,79.070389,12.669083,1440.0002
2013,25 to 34,562.9635,90.505722,55.447952,5.3811865,257.27206,23.167788,23.18943,4.5978799,.52348316,.79794693,66.318726,227.74445,17.250866,5.5260253,5.3229613,4.0575233,75.567902,14.364606,1440
2014,25 to 34,568.84296,94.229462,58.600822,5.1121445,262.32703,21.267406,19.684666,2.6977129,.95551664,.46623036,59.484341,227.55141,20.241255,7.4331059,3.4640229,4.2505527,72.215088,11.176294,1440
2015,25 to 34,577.5686,98.406494,56.629326,4.1208377,259.59158,16.261038,19.56389,2.4350412,.7185623,.41064709,62.059383,224.0966,18.136076,6.7042756,3.2151093,4.4637971,76.420807,9.1979465,1439.9999
2016,25 to 34,567.97925,93.344749,54.451908,4.5745578,269.55231,17.451563,20.879292,3.8151731,.42946866,2.3372257,66.843117,215.30606,19.686157,4.9756846,4.4039369,4.7538204,79.934807,9.2809229,1440
