t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,t16,t18,t50,,,,,,,,
Personal Care,Household  ,Helping_HH_members,Helping_nonHH_members,Work,Education,Consumer_purchases,Professional_personal_services,Household_services,Govt & Civic Obligations,Eat and drink,Leisure,"Sports, Exercise and Recreation",Religious,Volunteer,Telephone Calls,Traveling,Miscellaneous,,,,,,,,
9.57,1.81,0.44,0.13,3.3,0.45,0.35,0.08,0.01,0,1.07,4.71,0.32,0.13,0.15,0.1,1.19,0.17,,,,,,,,
574.2657,108.6118,26.64274,7.698276,197.7279,27.18228,20.82836,4.888024,0.8602519,0.2543733,63.96699,282.8558,19.00442,8.084392,9.149128,6.041372,71.50168,10.43651,,,,,,,,
"Personal Care includes activities such as Sleeping, Grooming, taking medicine, having sex, and  being involved in a personal accident.","Household Activities includes Cleaning, Doing laundry, Preparing food, Repairing, Caring for household pets, Decorating and Maintaining a house. ","Caring For & Helping Household (HH) Members includes activities such as playing with household children, helping to do homework, caring for household members and so on.","Caring For & Helping Non-Household (NonHH) Members includes activities such as playing with NonHH children, Attending?NonHH children's events, Dropping off/picking up?NonHH?children, caring for household members and so on.","Work & Work-Related Activities includes Working, Waiting associated with working, Attending social event w/coworkers, Doing Income-generating performances/Services, Searching jobs and so on.","Education includes activities such as Taking a class, Doing a research, Spending a time in extracurricular school activities, Looking at course descriptions,  Waiting to enroll in a class. ","Consumer Purchases includes Shopping (Store, Telephone, Internet), Researching Purchases, and Being searched at a security checkpoint.","Professional & Personal Care Services include Childcare Services, Financial Services, Legal Services, Medical and Care Services, Personal Care Services such as getting a haircut, having nails done and having a message."," Household Services include activities such as Using interior cleaning services, Using meal preparation services, Using home maint/repair/d?cor/construction services, Getting Pet Services, and Having Vehicle Maint. & Repair Services.","Government Services & Civic Obligations include activities such as Using Government Services, Participating Civic Obligations, Waiting associated with using government services and so on.",?Eating and Drinking includes activities such as Eating and drinking and Waiting associated w/eating & drinking.,"Socializing, Relaxing, and Leisure includes activities such as Socializing and communicating with others, Attending or Hosting Social Events, Relaxing and Leisure, Attending performing arts, museums, and movies/film, and Waiting Associated with Socializing, Relaxing, and Leisure.","Sports, Exercise, and Recreation include activities such as Participating in Sports, Exercise, or Recreation, Attending Sporting/Recreational Events and Waiting Associated with Sports, Exercise, & Recreation.","Religious and Spiritual Activities include Attending religious services, Participation in religious practices and Waiting associated w/religious & spiritual activities.","Volunteer Activities include doing Social Service & Care Activities, volunteering Indoor & Outdoor Maintenance, Building, & Clean-up Activities, Participating in Performance & Cultural Activities and so on.","Telephone Calls include activities such as Talking on the phone to/from family, friends, and acquaintances and Waiting Associated with Telephone Calls.",Traveling includes all kind activities?happening while traveling from Personal care to Volunteering.,,,,,,,,,
,"On an average day, 84 percent of women and 68 percent of men spent some time doing household activities such as housework, cooking, lawn care, or financial and other household management.","Adults living in households with children 
under age 6 spent an average of 
2.1 hours per day providing primary childcare to household children.",,"Many more people worked on weekdays than on weekend days: 82 percent of employed persons worked on an average weekday, compared with 33 percent on an average weekend day.","Among workers age 25 and over, those with an advanced degree were more
     likely to work at home than were persons with lower levels of educational
     attainment--46 percent of those with an advanced degree performed some work
     at home on days worked, compared with 12 percent of those with a high school
     diploma.",,,,,,"On average, individuals ages 15 to 24 spent the most time playing games  or using a computer for leisure--about one hour per day. ",,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
