ID,Statistical weight (single-year data files),Age of youngest household child < 18,Age,Sex,Educational attainment,Race,Hispanic origin,Metropolitan status,Labor force status,Multiple job status,Full time or part time status,School Enrollment,School Level,Presence of spouse,Spouse¡¯s employment status,Weekly earnings,Number of children < 18 living in the household,Spouse¡¯s full time or part time employment status,Usual weekly hours of work (total),Day of week,Holiday
2.01701E+13,5217551,15,34,Female,High school graduate - diploma or equivalent (GED),2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,74220,1,Blank,40,Sunday,Diary day was not a holiday
2.01701E+13,3106847,7,28,Female,Some college but no degree,1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,No,Blank,Spouse present,Employed,-1,2,Full time,-1,Saturday,Diary day was not a holiday
2.01701E+13,1.65E+07,15,15,Male,9th grade,3,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Yes,High school,No spouse or unmarried partner present,Blank,-1,2,Blank,-1,Wednesday,Diary day was not a holiday
2.01701E+13,1.76E+07,-1,46,Male,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,96000,0,Blank,40,Monday,Diary day was not a holiday
2.01701E+13,1022275,-1,85,Male,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,63610,0,Blank,38,Saturday,Diary day was not a holiday
2.01701E+13,2972591,-1,60,Male,9th grade,1,Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Not employed,-1,0,Blank,50,Saturday,Diary day was not a holiday
2.01701E+13,2.72E+07,17,44,Male,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Non-metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Not employed,115500,1,Blank,40,Monday,Diary day was not a holiday
2.01701E+13,4423197,8,49,Female,"Bachelor's degree (BA, AB, BS, etc.)",2,Non-Hispanic,Metropolitan,Employed - at work,Yes,Full time,No,Blank,No spouse or unmarried partner present,Blank,71250,2,Blank,65,Tuesday,Diary day was not a holiday
2.01701E+13,4722745,-1,63,Male,Some college but no degree,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Not employed,192307,0,Blank,40,Sunday,Diary day was not a holiday
2.01701E+13,5431371,-1,70,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Friday,Diary day was not a holiday
2.01701E+13,8077137,-1,44,Female,Some college but no degree,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,No spouse or unmarried partner present,Blank,150000,0,Blank,40,Sunday,Diary day was not a holiday
2.01701E+13,1.05E+07,1,17,Female,10th grade,1,Non-Hispanic,Non-metropolitan,Not in labor force,Blank,Blank,No,Blank,Spouse present,Employed,-1,3,Full time,-1,Saturday,Diary day was not a holiday
2.01701E+13,1.38E+07,-1,79,Male,"Professional school degree (MD, DDS, DVM, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Monday,Diary day was not a holiday
2.01701E+13,9677182,4,61,Male,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,Spouse present,Employed,15000,2,Full time,15,Monday,Diary day was not a holiday
2.01701E+13,1.52E+07,-1,50,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Non-metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Employed,82840,0,Full time,40,Tuesday,Diary day was not a holiday
2.01701E+13,5723368,-1,64,Female,"Master's degree (MA, MS, MEng, MEd, MSW, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Part time,Blank,Blank,Spouse present,Employed,30000,0,Hours vary,20,Sunday,Diary day was not a holiday
2.01701E+13,2588656,-1,22,Female,High school graduate - diploma or equivalent (GED),1,Hispanic,Metropolitan,Not in labor force,Blank,Blank,Yes,College or university,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01701E+13,2782759,12,46,Male,"Bachelor's degree (BA, AB, BS, etc.)",1,Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,288461,1,Full time,50,Sunday,Diary day was not a holiday
2.01701E+13,3578830,3,52,Male,High school graduate - diploma or equivalent (GED),1,Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Not employed,72000,2,Blank,45,Sunday,Diary day was not a holiday
2.01701E+13,1.09E+07,10,47,Female,"Bachelor's degree (BA, AB, BS, etc.)",2,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Not employed,15000,1,Blank,-4,Sunday,Diary day was not a holiday
2.01701E+13,6071649,-1,63,Male,Some college but no degree,1,Non-Hispanic,Metropolitan,Employed - at work,Yes,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,50,Tuesday,Diary day was not a holiday
2.01701E+13,3086205,-1,50,Female,Some college but no degree,2,Non-Hispanic,Non-metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Monday,Diary day was not a holiday
2.01701E+13,3467374,-1,85,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01701E+13,5675642,1,38,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,67500,2,Part time,40,Tuesday,Diary day was not a holiday
2.01701E+13,8540110,-1,64,Female,Associate degree - occupational/vocational,1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Spouse present,Not employed,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01701E+13,1820337,-1,58,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - absent,No,Part time,Blank,Blank,No spouse or unmarried partner present,Blank,0,0,Blank,30,Sunday,Diary day was not a holiday
2.01701E+13,5074717,-1,51,Female,Some college but no degree,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,Spouse present,Employed,105769,0,Full time,50,Sunday,Diary day was not a holiday
2.01701E+13,4260800,-1,73,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,Unmarried partner present,Not employed,-1,0,Blank,-1,Saturday,Diary day was not a holiday
2.01701E+13,3544166,1,33,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Hispanic,Metropolitan,Not in labor force,Blank,Blank,No,Blank,Spouse present,Employed,-1,2,Part time,-1,Sunday,Diary day was not a holiday
2.01701E+13,4616305,-1,59,Male,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Non-metropolitan,Employed - at work,Yes,Full time,Blank,Blank,Spouse present,Employed,-1,0,Part time,64,Saturday,Diary day was not a holiday
2.01701E+13,3403371,-1,85,Female,High school graduate - diploma or equivalent (GED),1,Non-Hispanic,Metropolitan,Not in labor force,Blank,Blank,Blank,Blank,No spouse or unmarried partner present,Blank,-1,0,Blank,-1,Sunday,Diary day was not a holiday
2.01701E+13,7047940,-1,22,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,Yes,Full time,No,Blank,Unmarried partner present,Employed,45000,0,Full time,55,Sunday,Diary day was not a holiday
2.01701E+13,9022631,-1,42,Female,"Bachelor's degree (BA, AB, BS, etc.)",1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,86538,0,Hours vary,40,Saturday,Diary day was not a holiday
2.01701E+13,2.01E+07,-1,46,Female,Associate degree - academic program,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,No,Blank,Spouse present,Employed,103846,0,Full time,60,Wednesday,Diary day was not a holiday
2.01701E+13,3984072,-1,66,Male,Some college but no degree,1,Non-Hispanic,Metropolitan,Employed - at work,No,Full time,Blank,Blank,No spouse or unmarried partner present,Blank,72200,0,Blank,38,Wednesday,Diary day was not a holiday
